user_id,accuracy,consistency,volatility,completion_rate,weak_topics,predicted_score
stu_fte455_131,0.696,0.680,13.80,0.936,Integration,58
stu_fte455_132,0.528,0.648,24.52,0.871,Eigenvalues & Eigenvectors|Probability Basics|Complexity Analysis|Unsupervised Learning,49
stu_fte455_133,0.676,0.644,14.03,0.933,Normalization,55
stu_fte455_134,0.512,0.859,9.44,0.916,Propositional & Predicate Logic|Arrays & Strings|Unsupervised Learning|Optimization,54
stu_fte455_135,0.572,0.299,6.59,0.853,Matrices & Determinants,44
stu_fte455_136,0.708,0.788,11.25,0.847,None,61
stu_fte455_137,0.624,0.684,37.06,0.926,Differentiation|Supervised Learning|Model Evaluation,53
stu_fte455_138,0.660,0.626,12.97,0.951,Integration,54
stu_fte455_139,0.580,0.239,9.80,0.903,Complexity Analysis,44
stu_fte455_140,0.640,0.794,11.80,0.958,None,57
stu_fte455_141,0.640,0.624,13.36,0.947,Normalization|Matrices & Determinants|SQL & Relational Algebra,55
stu_fte455_142,0.576,0.671,14.71,0.940,Probability Distributions|Verbal Reasoning|Logical Reasoning|Supervised Learning,52
stu_fte455_143,0.704,0.711,15.34,0.839,None,56
stu_fte455_144,0.628,0.626,10.08,0.903,None,53
stu_fte455_145,0.596,0.482,10.58,0.836,Hypothesis Testing|Optimization|Supervised Learning,48
stu_fte455_146,0.676,0.718,15.25,0.868,None,56
stu_fte455_147,0.604,0.562,27.10,0.850,Differentiation|Integration,49
stu_fte455_148,0.632,0.297,22.51,0.919,Matrices & Determinants|Probability Distributions,46
stu_fte455_149,0.632,0.791,12.28,0.896,SQL & Relational Algebra,56
stu_fte455_150,0.624,0.193,6.34,0.940,Normalization,45
stu_fte455_151,0.732,0.717,27.91,0.853,None,59
stu_fte455_152,0.556,0.849,11.79,0.890,Model Evaluation|Supervised Learning,55
stu_fte455_153,0.712,0.803,16.06,0.877,None,59
stu_fte455_154,0.620,0.672,10.45,0.909,Trees & Graphs|Complexity Analysis,54
stu_fte455_155,0.584,0.549,12.55,0.896,Differentiation|Logical Reasoning|Quantitative Aptitude,50
stu_fte455_156,0.668,0.728,11.69,0.929,None,57
stu_fte455_157,0.516,0.499,20.54,0.871,Model Evaluation|Supervised Learning|Differentiation,46
stu_fte455_158,0.640,0.415,13.03,0.871,Integration|Supervised Learning,49
stu_fte455_159,0.536,0.516,10.32,0.926,Matrices & Determinants|Hypothesis Testing|Complexity Analysis|Quantitative Aptitude,48
stu_fte455_160,0.532,0.469,14.85,0.916,Verbal Reasoning|Normalization|Integration|Supervised Learning,46
stu_fte455_161,0.704,0.712,11.35,0.853,None,60
stu_fte455_162,0.556,0.768,7.00,0.845,Probability Basics|Integration|Optimization|Propositional & Predicate Logic,53
stu_fte455_163,0.572,0.539,7.81,0.929,Supervised Learning,50
stu_fte455_164,0.520,0.521,9.14,0.899,Propositional & Predicate Logic|Probability Distributions|Model Evaluation|SQL & Relational Algebra,47
stu_fte455_165,0.620,0.693,9.63,0.943,Quantitative Aptitude|Integration,54
stu_fte455_166,0.644,0.711,7.38,0.874,Optimization|Logical Reasoning,56
stu_fte455_167,0.576,0.738,14.02,0.887,Normalization|Supervised Learning|Integration,54
stu_fte455_168,0.712,0.633,30.51,0.880,Arrays & Strings,55
stu_fte455_169,0.616,0.681,14.29,0.836,Hypothesis Testing,53
stu_fte455_170,0.576,0.482,12.71,0.880,Optimization|Verbal Reasoning|Matrices & Determinants|Normalization,48
stu_fte455_171,0.696,0.752,9.08,0.871,Matrices & Determinants,60
stu_fte455_172,0.596,0.741,17.43,0.909,Matrices & Determinants,54
stu_fte455_173,0.640,0.310,8.44,0.839,Arrays & Strings,47
stu_fte455_174,0.572,0.452,10.28,0.958,None,48
stu_fte455_175,0.648,0.656,23.14,0.868,SQL & Relational Algebra|Eigenvalues & Eigenvectors,53
stu_fte455_176,0.632,0.481,11.05,0.909,Model Evaluation|Integration|Propositional & Predicate Logic,50
stu_fte455_177,0.560,0.478,24.26,0.926,Optimization|Model Evaluation,48
stu_fte455_178,0.656,0.572,18.17,0.847,Integration|Matrices & Determinants|Unsupervised Learning,52
stu_fte455_179,0.608,0.391,8.65,0.850,Probability Basics,47
stu_fte455_180,0.692,0.653,8.63,0.951,Logical Reasoning,56
stu_fte455_181,0.680,0.685,15.69,0.842,Search Algorithms,56
stu_fte455_182,0.564,0.715,21.10,0.847,Unsupervised Learning|Probability Distributions|Quantitative Aptitude,51
stu_fte455_183,0.616,0.498,5.88,0.865,Probability Distributions|Propositional & Predicate Logic|SQL & Relational Algebra,50
stu_fte455_184,0.532,0.723,5.35,0.853,Integration|Hypothesis Testing|Arrays & Strings|Matrices & Determinants,51
stu_fte455_185,0.612,0.678,17.57,0.899,Normalization|Probability Distributions|Supervised Learning,53
stu_fte455_186,0.632,0.719,11.89,0.951,None,55
stu_fte455_187,0.632,0.613,11.22,0.887,Search Algorithms|Model Evaluation|Eigenvalues & Eigenvectors,53
stu_fte455_188,0.584,0.478,10.90,0.880,Propositional & Predicate Logic|Differentiation|Hypothesis Testing|Matrices & Determinants,48
stu_fte455_189,0.552,0.400,11.55,0.845,Normalization|Propositional & Predicate Logic|Matrices & Determinants,45
stu_fte455_190,0.624,0.637,17.14,0.899,Eigenvalues & Eigenvectors|Quantitative Aptitude|Trees & Graphs,53
stu_fte455_191,0.648,0.543,33.28,0.916,Normalization|Supervised Learning,53
stu_fte455_192,0.560,0.893,8.41,0.926,Normalization|SQL & Relational Algebra|Matrices & Determinants|Propositional & Predicate Logic,56
stu_fte455_193,0.620,0.673,8.30,0.926,None,54
stu_fte455_194,0.572,0.613,9.19,0.926,Probability Distributions,51
stu_fte455_195,0.612,0.514,18.73,0.909,Propositional & Predicate Logic|Integration|Probability Basics|Search Algorithms,50
stu_fte455_196,0.636,0.702,11.88,0.839,Normalization,54
stu_fte455_197,0.548,0.612,23.70,0.940,Optimization|Hypothesis Testing|Eigenvalues & Eigenvectors|Probability Basics,49
stu_fte455_198,0.600,0.235,21.03,0.929,Arrays & Strings|Logical Reasoning|Hypothesis Testing|Normalization,44
stu_fte455_199,0.608,0.407,14.20,0.919,Logical Reasoning|Propositional & Predicate Logic|Differentiation,48
stu_fte455_200,0.592,0.714,12.94,0.836,Unsupervised Learning|Hypothesis Testing|Eigenvalues & Eigenvectors|Probability Distributions,53
stu_fte455_201,0.712,0.648,11.82,0.890,Normalization,56
stu_fte455_202,0.604,0.686,26.16,0.958,Model Evaluation|Integration|Matrices & Determinants,53
stu_fte455_203,0.584,0.270,12.79,0.850,Propositional & Predicate Logic|Arrays & Strings,44
stu_fte455_204,0.612,0.661,10.20,0.919,None,53
stu_fte455_205,0.604,0.479,6.40,0.877,Integration|Search Algorithms|Probability Distributions|Quantitative Aptitude,49
stu_fte455_206,0.692,0.693,12.98,0.856,Integration,56
stu_fte455_207,0.612,0.692,11.67,0.853,Arrays & Strings|Normalization|Quantitative Aptitude,53
stu_fte455_208,0.636,0.800,8.79,0.880,None,57
stu_fte455_209,0.576,0.771,10.59,0.909,Hypothesis Testing|Matrices & Determinants|Probability Basics,54
stu_fte455_210,0.592,0.414,10.57,0.947,Hypothesis Testing|Unsupervised Learning|Eigenvalues & Eigenvectors,48
stu_fte455_211,0.676,0.743,6.82,0.865,Search Algorithms,57
stu_fte455_212,0.560,0.535,13.52,0.936,Model Evaluation|Unsupervised Learning|Eigenvalues & Eigenvectors|Probability Distributions,49
stu_fte455_213,0.668,0.424,18.32,0.874,Hypothesis Testing,50
stu_fte455_214,0.604,0.622,13.10,0.868,Normalization|Eigenvalues & Eigenvectors,52
stu_fte455_215,0.616,0.684,15.45,0.890,Matrices & Determinants|Arrays & Strings,53
stu_fte455_216,0.756,0.770,11.34,0.893,None,61
stu_fte455_217,0.564,0.461,7.05,0.936,Hypothesis Testing|Integration|Unsupervised Learning|Probability Basics,48
stu_fte455_218,0.624,0.591,15.57,0.943,Probability Basics|Hypothesis Testing|Differentiation|Search Algorithms,52
stu_fte455_219,0.564,0.575,12.76,0.929,Hypothesis Testing|Matrices & Determinants|Verbal Reasoning|Probability Distributions,50
stu_fte455_220,0.616,0.417,9.77,0.856,Matrices & Determinants|Complexity Analysis,48
