node_id,title,difficulty,topics,degree,acceptance
79,Remove Duplicates from Sorted Array II,Medium,"Array, Two Pointers",6,0.46299999999999997
80,Search in Rotated Sorted Array II,Medium,"Array, Binary Search",5,0.337
81,Remove Duplicates from Sorted List II,Medium,Linked List,3,0.395
82,Remove Duplicates from Sorted List,Easy,Linked List,3,0.467
83,Largest Rectangle in Histogram,Hard,"Array, Stack",5,0.374
84,Maximal Rectangle,Hard,"Array, Hash Table, Dynamic Programming, Stack",13,0.397
85,Partition List,Medium,"Linked List, Two Pointers",6,0.43700000000000006
86,Scramble String,Hard,"String, Dynamic Programming",4,0.348
87,Merge Sorted Array,Easy,"Array, Two Pointers",11,0.409
88,Gray Code,Medium,Backtracking,3,0.507
89,Subsets II,Medium,"Array, Backtracking",5,0.491
90,Decode Ways,Medium,"String, Dynamic Programming",7,0.26899999999999996
91,Reverse Linked List II,Medium,Linked List,5,0.408
92,Restore IP Addresses,Medium,"String, Backtracking",7,0.379
93,Binary Tree Inorder Traversal,Medium,"Hash Table, Stack, Tree",257,0.6629999999999999
94,Unique Binary Search Trees II,Medium,"Dynamic Programming, Tree",6,0.43
95,Unique Binary Search Trees,Medium,"Dynamic Programming, Tree",4,0.547
96,Interleaving String,Medium,"String, Dynamic Programming",6,0.32799999999999996
97,Validate Binary Search Tree,Medium,,2,0.289
98,Recover Binary Search Tree,Hard,"Tree, Depth-first Search",8,0.428
99,Same Tree,Easy,"Tree, Depth-first Search",4,0.542
100,Symmetric Tree,Easy,"Tree, Depth-first Search, Breadth-first Search",8,0.484
101,Binary Tree Level Order Traversal,Medium,"Tree, Breadth-first Search",13,0.57
102,Binary Tree Zigzag Level Order Traversal,Medium,"Stack, Tree, Breadth-first Search",11,0.504
103,Maximum Depth of Binary Tree,Easy,"Tree, Depth-first Search, Recursion",12,0.6829999999999999
104,Construct Binary Tree from Preorder and Inorder Traversal,Medium,"Array, Tree, Depth-first Search",6,0.524
105,Construct Binary Tree from Inorder and Postorder Traversal,Medium,"Array, Tree, Depth-first Search",8,0.501
106,Binary Tree Level Order Traversal II,Medium,"Tree, Breadth-first Search",8,0.555
107,Convert Sorted Array to Binary Search Tree,Easy,"Tree, Depth-first Search",4,0.609
108,Convert Sorted List to Binary Search Tree,Medium,"Linked List, Depth-first Search",7,0.506
109,Balanced Binary Tree,Easy,"Tree, Depth-first Search, Recursion",6,0.44799999999999995
110,Minimum Depth of Binary Tree,Easy,"Tree, Depth-first Search, Breadth-first Search",6,0.39799999999999996
111,Path Sum,Easy,"Tree, Depth-first Search",8,0.426
112,Path Sum II,Medium,"Tree, Depth-first Search",8,0.495
113,Flatten Binary Tree to Linked List,Medium,"Tree, Depth-first Search",8,0.524
114,Distinct Subsequences,Hard,"String, Dynamic Programming",8,0.4
115,Populating Next Right Pointers in Each Node,Medium,"Tree, Depth-first Search, Breadth-first Search",7,0.496
116,Populating Next Right Pointers in Each Node II,Medium,"Tree, Depth-first Search",5,0.424
117,Pascal's Triangle,Easy,Array,3,0.5539999999999999
118,Pascal's Triangle II,Easy,Array,3,0.525
119,Triangle,Medium,"Array, Dynamic Programming",4,0.46
120,Best Time to Buy and Sell Stock,Easy,"Array, Dynamic Programming",9,0.518
121,Best Time to Buy and Sell Stock II,Easy,"Array, Greedy",11,0.588
122,Best Time to Buy and Sell Stock III,Hard,"Array, Dynamic Programming",10,0.402
123,Binary Tree Maximum Path Sum,Hard,"Tree, Depth-first Search, Recursion",10,0.35600000000000004
124,Valid Palindrome,Easy,"Two Pointers, String",6,0.385
125,Word Ladder II,Hard,"Array, String, Backtracking, Breadth-first Search",9,0.23800000000000002
126,Word Ladder,Hard,Breadth-first Search,3,0.321
127,Longest Consecutive Sequence,Hard,"Array, Union Find",7,0.465
128,Sum Root to Leaf Numbers,Medium,"Tree, Depth-first Search",6,0.513
129,Surrounded Regions,Medium,"Depth-first Search, Breadth-first Search, Union Find",8,0.298
130,Palindrome Partitioning,Medium,"Dynamic Programming, Backtracking, Depth-first Search",10,0.526
131,Palindrome Partitioning II,Hard,Dynamic Programming,6,0.314
132,Clone Graph,Medium,"Depth-first Search, Breadth-first Search, Graph",9,0.39799999999999996
133,Gas Station,Medium,Greedy,2,0.415
134,Candy,Hard,Greedy,2,0.33299999999999996
135,Single Number,Easy,"Hash Table, Bit Manipulation",13,0.667
136,Single Number II,Medium,Bit Manipulation,4,0.541
137,Copy List with Random Pointer,Medium,"Hash Table, Linked List",9,0.414
138,Word Break,Medium,Dynamic Programming,3,0.419
139,Word Break II,Hard,"Dynamic Programming, Backtracking",8,0.353
140,Linked List Cycle,Easy,"Linked List, Two Pointers",5,0.431
141,Linked List Cycle II,Medium,"Linked List, Two Pointers",6,0.4
142,Reorder List,Medium,Linked List,2,0.41
143,Binary Tree Preorder Traversal,Medium,"Stack, Tree",7,0.578
144,Binary Tree Postorder Traversal,Medium,"Stack, Tree",6,0.58
145,LRU Cache,Medium,Design,6,0.36200000000000004
146,Insertion Sort List,Medium,"Linked List, Sort",7,0.446
147,Sort List,Medium,"Linked List, Sort",6,0.467
148,Max Points on a Line,Hard,"Hash Table, Math",5,0.17600000000000002
149,Evaluate Reverse Polish Notation,Medium,Stack,4,0.382
150,Reverse Words in a String,Medium,String,5,0.24100000000000002
151,Maximum Product Subarray,Medium,"Array, Dynamic Programming",11,0.32899999999999996
152,Find Minimum in Rotated Sorted Array,Medium,"Array, Binary Search",10,0.46399999999999997
153,Find Minimum in Rotated Sorted Array II,Hard,"Array, Binary Search",6,0.42100000000000004
154,Min Stack,Easy,"Stack, Design",7,0.46799999999999997
155,Binary Tree Upside Down,Medium,Tree,5,0.5660000000000001
156,Read N Characters Given Read4,Easy,String,3,0.377
157,Read N Characters Given Read4 II - Call multiple times,Hard,String,3,0.374
158,Longest Substring with At Most Two Distinct Characters,Medium,"Hash Table, Two Pointers, String, Sliding Window",14,0.507
159,Intersection of Two Linked Lists,Easy,Linked List,5,0.445
160,One Edit Distance,Medium,String,5,0.332
161,Find Peak Element,Medium,"Array, Binary Search",5,0.441
162,Missing Ranges,Easy,Array,3,0.27399999999999997
163,Maximum Gap,Hard,Sort,2,0.371
164,Compare Version Numbers,Medium,String,2,0.306
165,Fraction to Recurring Decimal,Medium,"Hash Table, Math",5,0.22399999999999998
166,Two Sum II - Input array is sorted,Easy,"Array, Two Pointers, Binary Search",9,0.5579999999999999
167,Excel Sheet Column Title,Easy,Math,3,0.319
168,Majority Element,Easy,"Array, Divide and Conquer, Bit Manipulation",10,0.602
169,Two Sum III - Data structure design,Easy,"Hash Table, Design",7,0.35
170,Excel Sheet Column Number,Easy,Math,5,0.5710000000000001
171,Factorial Trailing Zeroes,Easy,Math,4,0.38799999999999996
172,Binary Search Tree Iterator,Medium,"Stack, Tree, Design",13,0.606
173,Dungeon Game,Hard,"Binary Search, Dynamic Programming",7,0.33399999999999996
174,Combine Two Tables,Easy,,1,0.647
175,Second Highest Salary,Easy,,1,0.335
176,Nth Highest Salary,Medium,,1,0.336
177,Rank Scores,Medium,,1,0.51
178,Largest Number,Medium,Sort,2,0.308
179,Consecutive Numbers,Medium,,1,0.426
180,Employees Earning More Than Their Managers,Easy,,1,0.61
181,Duplicate Emails,Easy,,1,0.65
182,Customers Who Never Order,Easy,,1,0.575
183,Department Highest Salary,Medium,,1,0.408
184,Department Top Three Salaries,Hard,,1,0.39799999999999996
185,Reverse Words in a String II,Medium,String,4,0.46
186,Repeated DNA Sequences,Medium,"Hash Table, Bit Manipulation",4,0.41700000000000004
187,Best Time to Buy and Sell Stock IV,Hard,Dynamic Programming,5,0.3
188,Rotate Array,Medium,Array,4,0.368
189,Reverse Bits,Easy,Bit Manipulation,4,0.426
190,Number of 1 Bits,Easy,Bit Manipulation,8,0.542
191,Word Frequency,Medium,,1,0.256
192,Valid Phone Numbers,Easy,,1,0.254
193,Transpose File,Medium,,1,0.244
194,Tenth Line,Easy,,1,0.32799999999999996
195,Delete Duplicate Emails,Easy,,1,0.45899999999999996
196,Rising Temperature,Easy,,1,0.402
197,House Robber,Medium,Dynamic Programming,12,0.431
198,Binary Tree Right Side View,Medium,"Tree, Depth-first Search, Breadth-first Search, Recursion, Queue",16,0.565
199,Number of Islands,Medium,"Depth-first Search, Breadth-first Search, Union Find",13,0.495
200,Bitwise AND of Numbers Range,Medium,Bit Manipulation,4,0.397
201,Happy Number,Easy,"Hash Table, Math",7,0.514
202,Remove Linked List Elements,Easy,Linked List,4,0.395
203,Count Primes,Easy,"Hash Table, Math",7,0.32299999999999995
204,Isomorphic Strings,Easy,Hash Table,3,0.406
205,Reverse Linked List,Easy,Linked List,7,0.657
206,Course Schedule,Medium,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",13,0.44299999999999995
207,Implement Trie (Prefix Tree),Medium,"Design, Trie",10,0.525
208,Minimum Size Subarray Sum,Medium,"Array, Two Pointers, Binary Search",12,0.39799999999999996
209,Course Schedule II,Medium,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",14,0.429
210,Design Add and Search Words Data Structure,Medium,"Backtracking, Depth-first Search, Design, Trie",13,0.406
211,Word Search II,Hard,"Backtracking, Trie",6,0.374
212,House Robber II,Medium,Dynamic Programming,10,0.377
213,Shortest Palindrome,Hard,String,6,0.308
214,Kth Largest Element in an Array,Medium,"Divide and Conquer, Heap",9,0.589
215,Combination Sum III,Medium,"Array, Backtracking",4,0.606
216,Contains Duplicate,Easy,"Array, Hash Table",8,0.569
217,The Skyline Problem,Hard,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",13,0.366
218,Contains Duplicate II,Easy,"Array, Hash Table",8,0.38799999999999996
219,Contains Duplicate III,Medium,"Sort, Ordered Map",6,0.214
220,Maximal Square,Medium,Dynamic Programming,6,0.396
221,Count Complete Tree Nodes,Medium,"Binary Search, Tree",7,0.49700000000000005
222,Rectangle Area,Medium,Math,3,0.38299999999999995
223,Basic Calculator,Hard,"Math, Stack",11,0.38299999999999995
224,Implement Stack using Queues,Easy,"Stack, Design",6,0.479
225,Invert Binary Tree,Easy,Tree,2,0.6729999999999999
226,Basic Calculator II,Medium,"String, Stack",6,0.38799999999999996
227,Summary Ranges,Easy,Array,4,0.42700000000000005
228,Majority Element II,Medium,Array,6,0.39
229,Kth Smallest Element in a BST,Medium,"Binary Search, Tree",6,0.629
230,Power of Two,Easy,"Math, Bit Manipulation",9,0.43799999999999994
231,Implement Queue using Stacks,Easy,"Stack, Design",6,0.527
232,Number of Digit One,Hard,Math,6,0.318
233,Palindrome Linked List,Easy,"Linked List, Two Pointers",6,0.419
234,Lowest Common Ancestor of a Binary Search Tree,Easy,Tree,9,0.521
235,Lowest Common Ancestor of a Binary Tree,Medium,Tree,9,0.493
236,Delete Node in a Linked List,Easy,Linked List,3,0.674
237,Product of Array Except Self,Medium,Array,7,0.614
238,Sliding Window Maximum,Hard,"Heap, Sliding Window, Dequeue",10,0.44799999999999995
239,Search a 2D Matrix II,Medium,"Binary Search, Divide and Conquer",7,0.45299999999999996
240,Different Ways to Add Parentheses,Medium,Divide and Conquer,5,0.5760000000000001
241,Valid Anagram,Easy,"Hash Table, Sort",9,0.589
242,Shortest Word Distance,Easy,,2,0.621
243,Shortest Word Distance II,Medium,"Hash Table, Design",7,0.545
244,Shortest Word Distance III,Medium,Array,6,0.561
245,Strobogrammatic Number,Easy,"Hash Table, Math",7,0.46399999999999997
246,Strobogrammatic Number II,Medium,"Math, Recursion",8,0.488
247,Strobogrammatic Number III,Hard,"Math, Recursion",10,0.40399999999999997
248,Group Shifted Strings,Medium,"Hash Table, String",6,0.585
249,Count Univalue Subtrees,Medium,Tree,4,0.535
250,Flatten 2D Vector,Medium,Design,8,0.46399999999999997
251,Meeting Rooms,Easy,Sort,4,0.555
252,Meeting Rooms II,Medium,"Heap, Greedy, Sort",10,0.47100000000000003
253,Factor Combinations,Medium,Backtracking,3,0.47600000000000003
254,Verify Preorder Sequence in Binary Search Tree,Medium,"Stack, Tree",5,0.46399999999999997
255,Paint House,Medium,Dynamic Programming,6,0.539
256,Binary Tree Paths,Easy,"Tree, Depth-first Search",4,0.54
257,Add Digits,Easy,Math,4,0.5870000000000001
258,3Sum Smaller,Medium,"Array, Two Pointers",8,0.49200000000000005
259,Single Number III,Medium,Bit Manipulation,4,0.654
260,Graph Valid Tree,Medium,"Depth-first Search, Breadth-first Search, Union Find, Graph",8,0.433
261,Trips and Users,Hard,,1,0.355
262,Ugly Number,Easy,Math,7,0.41700000000000004
263,Ugly Number II,Medium,"Math, Dynamic Programming, Heap",14,0.43
264,Paint House II,Hard,Dynamic Programming,6,0.45899999999999996
265,Palindrome Permutation,Easy,Hash Table,6,0.627
266,Palindrome Permutation II,Medium,Backtracking,5,0.376
267,Missing Number,Easy,"Array, Math, Bit Manipulation",14,0.552
268,Alien Dictionary,Hard,"Graph, Topological Sort",8,0.33799999999999997
269,Closest Binary Search Tree Value,Easy,"Binary Search, Tree",7,0.503
270,Encode and Decode Strings,Medium,String,6,0.33
271,Closest Binary Search Tree Value II,Hard,"Stack, Tree",10,0.526
272,Integer to English Words,Hard,"Math, String",7,0.28300000000000003
273,H-Index,Medium,"Hash Table, Sort",7,0.364
274,H-Index II,Medium,Binary Search,3,0.364
275,Paint Fence,Medium,Dynamic Programming,6,0.392
276,Find the Celebrity,Medium,Array,3,0.44
277,First Bad Version,Easy,Binary Search,5,0.37799999999999995
278,Perfect Squares,Medium,"Math, Dynamic Programming, Breadth-first Search",14,0.49200000000000005
279,Wiggle Sort,Medium,"Array, Sort",6,0.648
280,Zigzag Iterator,Medium,Design,9,0.596
281,Expression Add Operators,Hard,Divide and Conquer,7,0.369
282,Move Zeroes,Easy,"Array, Two Pointers",6,0.5870000000000001
283,Peeking Iterator,Medium,Design,5,0.509
284,Inorder Successor in BST,Medium,Tree,7,0.433
285,Walls and Gates,Medium,Breadth-first Search,7,0.569
286,Find the Duplicate Number,Medium,"Array, Two Pointers, Binary Search",15,0.579
287,Unique Word Abbreviation,Medium,"Hash Table, Design",6,0.23199999999999998
288,Game of Life,Medium,Array,3,0.588
289,Word Pattern,Easy,Hash Table,4,0.384
290,Word Pattern II,Medium,Backtracking,3,0.444
291,Nim Game,Easy,"Brainteaser, Minimax",5,0.551
292,Flip Game,Easy,String,3,0.615
293,Flip Game II,Medium,"Backtracking, Minimax",10,0.508
294,Find Median from Data Stream,Hard,"Heap, Design",8,0.474
295,Best Meeting Point,Hard,"Math, Sort",5,0.5820000000000001
296,Serialize and Deserialize Binary Tree,Hard,"Tree, Design",9,0.502
297,Binary Tree Longest Consecutive Sequence,Medium,Tree,3,0.48200000000000004
298,Bulls and Cows,Medium,Hash Table,2,0.447
299,Longest Increasing Subsequence,Medium,"Binary Search, Dynamic Programming",12,0.445
300,Remove Invalid Parentheses,Hard,"Depth-first Search, Breadth-first Search",5,0.44799999999999995
301,Smallest Rectangle Enclosing Black Pixels,Hard,Binary Search,3,0.526
302,Range Sum Query - Immutable,Easy,Dynamic Programming,5,0.48200000000000004
303,Range Sum Query 2D - Immutable,Medium,Dynamic Programming,4,0.41100000000000003
304,Number of Islands II,Hard,Union Find,5,0.396
305,Additive Number,Medium,Backtracking,2,0.297
306,Range Sum Query - Mutable,Medium,"Binary Indexed Tree, Segment Tree",5,0.369
307,Range Sum Query 2D - Mutable,Hard,"Binary Indexed Tree, Segment Tree",5,0.381
308,Best Time to Buy and Sell Stock with Cooldown,Medium,Dynamic Programming,6,0.483
309,Minimum Height Trees,Medium,"Breadth-first Search, Graph",8,0.349
310,Sparse Matrix Multiplication,Medium,Hash Table,2,0.6409999999999999
311,Burst Balloons,Hard,"Divide and Conquer, Dynamic Programming",6,0.539
312,Super Ugly Number,Medium,"Math, Heap",9,0.46299999999999997
313,Binary Tree Vertical Order Traversal,Medium,"Depth-first Search, Breadth-first Search",4,0.473
314,Count of Smaller Numbers After Self,Hard,"Binary Search, Divide and Conquer, Sort, Binary Indexed Tree, Segment Tree",17,0.424
315,Remove Duplicate Letters,Medium,"String, Stack, Greedy",11,0.39299999999999996
316,Shortest Distance from All Buildings,Hard,Breadth-first Search,7,0.429
317,Maximum Product of Word Lengths,Medium,Bit Manipulation,2,0.524
318,Bulb Switcher,Medium,"Math, Brainteaser",7,0.45399999999999996
319,Generalized Abbreviation,Medium,"Backtracking, Bit Manipulation",9,0.54
320,Create Maximum Number,Hard,"Dynamic Programming, Greedy",6,0.276
321,Coin Change,Medium,Dynamic Programming,3,0.377
322,Number of Connected Components in an Undirected Graph,Medium,"Depth-first Search, Breadth-first Search, Union Find, Graph",10,0.5820000000000001
323,Wiggle Sort II,Medium,Sort,5,0.308
324,Maximum Size Subarray Sum Equals k,Medium,Hash Table,8,0.47600000000000003
325,Power of Three,Easy,Math,5,0.42100000000000004
326,Count of Range Sum,Hard,"Binary Search, Divide and Conquer, Sort, Binary Indexed Tree, Segment Tree",12,0.36200000000000004
327,Odd Even Linked List,Medium,Linked List,3,0.5720000000000001
328,Longest Increasing Path in a Matrix,Hard,"Depth-first Search, Topological Sort, Memoization",6,0.45399999999999996
329,Patching Array,Hard,Greedy,3,0.35100000000000003
330,Verify Preorder Serialization of a Binary Tree,Medium,Stack,2,0.41100000000000003
331,Reconstruct Itinerary,Medium,"Depth-first Search, Graph",4,0.381
332,Largest BST Subtree,Medium,Tree,2,0.38299999999999995
333,Increasing Triplet Subsequence,Medium,,1,0.409
334,Self Crossing,Hard,Math,4,0.287
335,Palindrome Pairs,Hard,"Hash Table, String, Trie",11,0.348
336,House Robber III,Medium,"Dynamic Programming, Tree, Depth-first Search",10,0.52
337,Counting Bits,Medium,"Dynamic Programming, Bit Manipulation",7,0.706
338,Nested List Weight Sum,Medium,"Depth-first Search, Breadth-first Search",10,0.768
339,Longest Substring with At Most K Distinct Characters,Medium,"Hash Table, Two Pointers, String, Sliding Window",17,0.457
340,Flatten Nested List Iterator,Medium,"Stack, Design",8,0.5479999999999999
341,Power of Four,Easy,Bit Manipulation,4,0.418
342,Integer Break,Medium,"Math, Dynamic Programming",7,0.514
343,Reverse String,Easy,"Two Pointers, String",8,0.7070000000000001
344,Reverse Vowels of a String,Easy,"Two Pointers, String",8,0.452
345,Moving Average from Data Stream,Easy,"Design, Queue",4,0.736
346,Top K Frequent Elements,Medium,"Hash Table, Heap",10,0.626
347,Design Tic-Tac-Toe,Medium,Design,5,0.557
348,Intersection of Two Arrays,Easy,"Hash Table, Two Pointers, Binary Search, Sort",11,0.653
349,Intersection of Two Arrays II,Easy,"Hash Table, Two Pointers, Binary Search, Sort",12,0.521
350,Android Unlock Patterns,Medium,"Dynamic Programming, Backtracking",4,0.498
351,Data Stream as Disjoint Intervals,Hard,"Binary Search, Ordered Map",8,0.488
352,Design Snake Game,Medium,"Design, Queue",4,0.36200000000000004
353,Russian Doll Envelopes,Hard,"Binary Search, Dynamic Programming",9,0.377
354,Design Twitter,Medium,"Hash Table, Heap, Design",9,0.316
355,Line Reflection,Medium,"Hash Table, Math",8,0.331
356,Count Numbers with Unique Digits,Medium,"Math, Dynamic Programming, Backtracking",8,0.49
357,Rearrange String k Distance Apart,Hard,"Hash Table, Heap, Greedy",10,0.35700000000000004
358,Logger Rate Limiter,Easy,"Hash Table, Design",7,0.725
359,Sort Transformed Array,Medium,"Math, Two Pointers, Sort",7,0.499
360,Bomb Enemy,Medium,Dynamic Programming,4,0.46799999999999997
361,Design Hit Counter,Medium,Design,3,0.655
362,Max Sum of Rectangle No Larger Than K,Hard,"Binary Search, Dynamic Programming, Queue",5,0.385
363,Nested List Weight Sum II,Medium,Depth-first Search,4,0.639
364,Water and Jug Problem,Medium,Math,4,0.313
365,Find Leaves of Binary Tree,Medium,"Tree, Depth-first Search",5,0.721
366,Valid Perfect Square,Easy,"Math, Binary Search",5,0.42200000000000004
367,Largest Divisible Subset,Medium,"Math, Dynamic Programming",4,0.384
368,Plus One Linked List,Medium,"Linked List, Recursion",5,0.596
369,Range Addition,Medium,Array,3,0.637
370,Sum of Two Integers,Medium,Bit Manipulation,3,0.506
371,Super Pow,Medium,,1,0.36700000000000005
372,Find K Pairs with Smallest Sums,Medium,Heap,6,0.379
373,Guess Number Higher or Lower,Easy,Binary Search,5,0.451
374,Guess Number Higher or Lower II,Medium,"Dynamic Programming, Minimax",9,0.424
375,Wiggle Subsequence,Medium,"Dynamic Programming, Greedy",4,0.42200000000000004
376,Combination Sum IV,Medium,Dynamic Programming,3,0.462
377,Kth Smallest Element in a Sorted Matrix,Medium,"Binary Search, Heap",8,0.564
378,Design Phone Directory,Medium,"Linked List, Design",4,0.484
379,Insert Delete GetRandom O(1),Medium,"Array, Hash Table, Design",8,0.491
380,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,"Array, Hash Table, Design",13,0.35
381,Linked List Random Node,Medium,Reservoir Sampling,1,0.5429999999999999
382,Ransom Note,Easy,String,5,0.535
383,Shuffle an Array,Medium,,1,0.541
384,Mini Parser,Medium,"String, Stack",9,0.34600000000000003
385,Lexicographical Numbers,Medium,,1,0.546
386,First Unique Character in a String,Easy,"Hash Table, String",5,0.539
387,Longest Absolute File Path,Medium,,1,0.431
388,Find the Difference,Easy,"Hash Table, Bit Manipulation",5,0.579
389,Elimination Game,Medium,,1,0.452
390,Perfect Rectangle,Hard,Line Sweep,3,0.313
391,Is Subsequence,Easy,"Binary Search, Dynamic Programming, Greedy",10,0.496
392,UTF-8 Validation,Medium,Bit Manipulation,2,0.381
393,Decode String,Medium,"Stack, Depth-first Search",7,0.53
394,Longest Substring with At Least K Repeating Characters,Medium,"Divide and Conquer, Recursion, Sliding Window",6,0.436
395,Rotate Function,Medium,Math,2,0.36700000000000005
396,Integer Replacement,Medium,"Math, Bit Manipulation",6,0.336
397,Random Pick Index,Medium,Reservoir Sampling,3,0.583
398,Evaluate Division,Medium,"Union Find, Graph",6,0.546
399,Nth Digit,Medium,Math,2,0.324
400,Binary Watch,Easy,"Backtracking, Bit Manipulation",5,0.485
401,Remove K Digits,Medium,"Stack, Greedy",7,0.287
402,Frog Jump,Hard,Dynamic Programming,3,0.41700000000000004
403,Sum of Left Leaves,Easy,Tree,2,0.523
404,Convert a Number to Hexadecimal,Easy,Bit Manipulation,4,0.445
405,Queue Reconstruction by Height,Medium,Greedy,3,0.6859999999999999
406,Trapping Rain Water II,Hard,"Heap, Breadth-first Search",5,0.445
407,Valid Word Abbreviation,Easy,String,4,0.315
408,Longest Palindrome,Easy,Hash Table,5,0.523
409,Split Array Largest Sum,Hard,"Binary Search, Dynamic Programming",4,0.466
410,Minimum Unique Word Abbreviation,Hard,"Backtracking, Bit Manipulation",9,0.374
411,Fizz Buzz,Easy,,1,0.636
